HALF,PROGRAM,NIGHT,OFFSET_KMS,COMPONENT,N_LABELS_FIT,N_TRAIN_PAIRS,N_CONNECTED_COMPONENTS
A,BRIGHT,20220327,0.12512030285786255,0,206,117550,1
A,BRIGHT,20220329,0.2933284212322928,0,206,117550,1
A,BRIGHT,20220331,0.6440902993915696,0,206,117550,1
A,BRIGHT,20220401,-0.768246924524593,0,206,117550,1
A,BRIGHT,20220402,0.43753066006040564,0,206,117550,1
A,BRIGHT,20220403,0.13362585613964878,0,206,117550,1
A,BRIGHT,20220407,0.004289965567027897,0,206,117550,1
A,BRIGHT,20220408,-1.2071417337747932,0,206,117550,1
A,BRIGHT,20220409,-0.8285793802352203,0,206,117550,1
A,BRIGHT,20220413,-0.7921374067396731,0,206,117550,1
A,BRIGHT,20220414,-0.8578157867386637,0,206,117550,1
A,BRIGHT,20220416,-0.7348792446932654,0,206,117550,1
A,BRIGHT,20220417,-0.7635418219145423,0,206,117550,1
A,BRIGHT,20220418,-0.48662628083163195,0,206,117550,1
A,BRIGHT,20220419,-0.3656067307653621,0,206,117550,1
A,BRIGHT,20220420,-0.6643791708750396,0,206,117550,1
A,BRIGHT,20220421,0.13206734867291153,0,206,117550,1
A,BRIGHT,20220422,0.9426093414303972,0,206,117550,1
A,BRIGHT,20220423,0.18450317349513629,0,206,117550,1
A,BRIGHT,20220426,0.721165311311623,0,206,117550,1
A,BRIGHT,20220428,0.5137117482994019,0,206,117550,1
A,BRIGHT,20220429,-0.2426982484451727,0,206,117550,1
A,BRIGHT,20220430,0.4882353103733864,0,206,117550,1
A,BRIGHT,20220501,-0.5858508252658289,0,206,117550,1
A,BRIGHT,20220502,0.4093427152992294,0,206,117550,1
A,BRIGHT,20220503,0.5035481865589416,0,206,117550,1
A,BRIGHT,20220504,0.22769896322953648,0,206,117550,1
A,BRIGHT,20220505,0.2130771587980284,0,206,117550,1
A,BRIGHT,20220507,-0.08042075542224855,0,206,117550,1
A,BRIGHT,20220508,0.14587635197955384,0,206,117550,1
A,BRIGHT,20220509,-0.041082280459215886,0,206,117550,1
A,BRIGHT,20220510,-0.15080429010953922,0,206,117550,1
A,BRIGHT,20220511,-0.8096292337893611,0,206,117550,1
A,BRIGHT,20220512,-0.4755696328861324,0,206,117550,1
A,BRIGHT,20220513,-0.5216344918467155,0,206,117550,1
A,BRIGHT,20220514,-0.47565915871125075,0,206,117550,1
A,BRIGHT,20220515,-0.14286911468575011,0,206,117550,1
A,BRIGHT,20220516,-0.10867653523115836,0,206,117550,1
A,BRIGHT,20220518,0.6638597689755343,0,206,117550,1
A,BRIGHT,20220522,0.8538998865727693,0,206,117550,1
A,BRIGHT,20220523,1.3455233995977232,0,206,117550,1
A,BRIGHT,20220524,0.9094191210696404,0,206,117550,1
A,BRIGHT,20220525,0.43748257268743496,0,206,117550,1
A,BRIGHT,20220526,0.32519768985111297,0,206,117550,1
A,BRIGHT,20220527,2.263723489646648,0,206,117550,1
A,BRIGHT,20220528,0.15183863802532216,0,206,117550,1
A,BRIGHT,20220530,1.0239467731205742,0,206,117550,1
A,BRIGHT,20220531,0.8551677607260606,0,206,117550,1
A,BRIGHT,20220602,0.16705545248087422,0,206,117550,1
A,BRIGHT,20220605,0.2251187310669384,0,206,117550,1
A,BRIGHT,20220607,0.4627200945998319,0,206,117550,1
A,BRIGHT,20220609,0.8164446995172475,0,206,117550,1
